timestamp,rule_id,rule_level,rule_description,srcip,agent,label,campaign_type
2026-07-13T15:29:24.096+0000,5104,8,Interface entered in promiscuous(sniffing) mode.,,vbox,0,
2026-07-13T15:29:24.140+0000,5104,8,Interface entered in promiscuous(sniffing) mode.,,vbox,0,
2026-07-13T15:29:28.098+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:29:28.099+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:29:28.101+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:29:28.103+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:29:28.105+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:29:28.108+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:29:28.110+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:29:28.112+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:29:28.115+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:30:10.107+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:30:10.108+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:30:10.109+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:30:10.111+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:30:10.114+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:30:10.117+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:30:10.119+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:30:10.121+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:30:10.124+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:30:36.113+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:30:36.113+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:30:36.115+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:30:36.118+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:30:36.120+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:30:36.124+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:30:36.128+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:30:36.130+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:30:36.133+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:30:40.113+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:30:40.156+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:30:40.156+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:30:40.156+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:30:40.156+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:30:40.156+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:30:40.156+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:30:40.156+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:30:40.156+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
